name,full_name,born
Ann-Christin Nykvist,,4 April 1948 
Ann-Margaret Carrozza,,1966-12-17 00:00:00
Ankie Broekers-Knol,Anneke Knol,1946-11-23 00:00:00
Ann Aiken,Ann Louise Aiken,1951-12-29 00:00:00
Ann-Margaret Ferrante,,1972-06-26 00:00:00
Ann Anderson,,1952 (age 69–70)
Ann Aldrich,Anna Louise Aldrich,1927-06-28 00:00:00
Ann-Marit Sæbønes,,1945-12-11 00:00:00
Ann Bedsole,Margaret Anna Smith,1930-01-07 00:00:00
Ann Bartlett,Ann Smith,"November 9, 1920"
Ann Whitman,Anne Cook,1908-06-11 00:00:00
Ann Bollin,,1960-08-18 00:00:00
James Wilkinson,,"March 24, 1757"
Anke Fuchs,Anke Nevermann,1937-07-05 00:00:00
Ann Claire Williams,,1949-08-16 00:00:00
Ann Cary Randolph Morris,Ann Cary Randolph,1774
Ann Cryer,Constance Ann Cryer,1939-12-14 00:00:00
Ann D. Montgomery,,1949-05-09 00:00:00
Eleanor Ann Day,,"August 10, 1938"
Ann Cary Randolph Morris,Ann Cary Randolph,1774
Ann Eliza Smith,,1819-10-07 00:00:00
Ann Coffey,Margaret Ann Brown,1946-08-31 00:00:00
Ann Clwyd,,1937-03-21 00:00:00
Ann Donnelly,,1959 (age 62–63)
Ann Johnson,,1974-08-13 00:00:00
Ann J. Land,,1932-04-12 00:00:00
Ann Dunham,Stanley Ann Dunham,1942-11-29 00:00:00
Ann Keen,Ann Lloyd Fox,1948-11-26 00:00:00
Ann Fleming,Anne Geraldine Mary Charteris,1913-06-19 00:00:00
Ann H. Kobayashi,,1937-04-10 00:00:00
Ann Lamont,,
Ann Lininger,,1968 (age 53–54)
Ann Linde,Ann Christin Linde,1961-12-04 00:00:00
Ann Lewis,Ann Frank,1937-12-19 00:00:00
Ann Gerry,Ann Thompson,1763-08-12 00:00:00
Ann McCrory,Ann Gordon,1956-11-23 00:00:00
The Baroness Mallalieu,,27 November 1945
Ann McKechin,,1961-04-22 00:00:00
Ann O'Leary,,1971 (age 50–51)
Annie McLane Kuster,Ann L. McLane,1956-09-05 00:00:00
,,1957-01-17 00:00:00
Ann O'Connell,,1934-08-03 00:00:00
Ann Rest,,1942-04-24 00:00:00
Ann Stock,,", U.S."
Ann Spencer,Ann Warden Liddon,circa 1793
Ann Marie Olivarius,,1955-02-19 00:00:00
Ann Stepan,Ann Ruppe,1943-09-27 00:00:00
Ann Romney,Ann Lois Davies,1949-04-16 00:00:00
The Baroness Taylor of Bolton,,1947-07-02 00:00:00
Ann Veneman,Ann Margaret Veneman,1949-06-29 00:00:00
Ann Timmer,,1960-09-12 00:00:00
Ann Willing Bingham,"August 1, 1764",1764-08-01 00:00:00
Lady Winterton,,1941-03-06 00:00:00
Ann Widdecombe,,1947-10-04 00:00:00
Anna Blackburne-Rigsby,Anna Elizabeth Blackburne,1961-05-06 00:00:00
Ann Wynia,,1943-09-29 00:00:00
The Lady Brassey,Anna Allnutt,7 October 1839
Anna Chernenko,Anna Dmitrievna Lyubimova,3 September 1913
Anna C. Verna,Anna Cibotti,1931-04-15 00:00:00
Anna Bugge,,17 November 1862
Anna Cabot Quincy Waterston,,Anna Cabot Lowell Quincy
Anna Diamantopoulou,,1959-02-26 00:00:00
Anna Elizabeth Botha,Anna Elizabeth Rossouw,1922-05-06 00:00:00
Anna Diggs Taylor,Anna Katherine Johnston,1932-12-09 00:00:00
Anna MacKinnon,,1957-11-11 00:00:00
Anna Gould,,1875-06-05 00:00:00
Anna Freud,,3 December 1895
Anna Eskamani,,1990-05-20 00:00:00
Anna Halprin,Hannah Dorothy Schuman,1920-07-13 00:00:00
Anna Harrison,Anna Tuthill Symmes,1775-07-25 00:00:00
Anna Hall Roosevelt,Anna Rebecca Hall,1863-03-17 00:00:00
Anna Hallberg,,1963-11-19 00:00:00
Anna Kaplan,Anna Monahemi,1965-08-23 00:00:00
Anna Kinberg Batra,Anna Maria Kinberg,1970-04-14 00:00:00
Anna M. Peterson,Anna M. Chadwick,1947-05-30 00:00:00
Anna Lindh,Ylva Anna Maria Lindh,1957-06-19 00:00:00
Anna MacKinnon,,1957-11-11 00:00:00
Anna J. Brown,Anna Jaeger,1952-07-26 00:00:00
Anna Maria Calhoun Clemson,Anna Maria Calhoun,1817-02-13 00:00:00
Annamaria Cancellieri,,1943-10-22 00:00:00
Anna Maria Corazza Bildt,Anna Maria Corazza,1963-03-10 00:00:00
Anna Maria Calhoun Clemson,Anna Maria Calhoun,1817-02-13 00:00:00
Anna Massey,Anna Raymond Massey,1937-08-11 00:00:00
Anna McMorrin,,1971-09-24 00:00:00
Anna Morton,Anna Livingston Reade Street,1846-05-18 00:00:00
Anna Murdoch Mann,Anna Maria Torv,1944-06-30 00:00:00
Anna Roosevelt Halsted,Anna Eleanor Roosevelt,1906-05-03 00:00:00
The Duchess of Bedford,Anna Maria Stanhope,3 September 1783
"Anna, Lady Stout",Anna Paterson Logan,1858-09-29 00:00:00
Anna Tovar,,
"Anna Thynne, Lady John Thynne",Anna Constantia Beresford,1806
Alexander S. Webb,,1835-02-15 00:00:00
Anna Harrison,Anna Tuthill Symmes,1775-07-25 00:00:00
Anna Turley,,1978-10-09 00:00:00
Anna C. Verna,Anna Cibotti,1931-04-15 00:00:00
Anna Ulyanova,Anna Ilyinichna Ulyanova,26 August [
Anna Wilmarth Ickes,,
Annabel Heseltine,Annabel Mary Dibdin Heseltine,1963-07-25 00:00:00
The Baroness Goldie,Annabel MacNicoll Goldie,1950-02-27 00:00:00
The Viscountess Astor,Annabel Lucy Veronica Jones,1948 (age 73–74)
Annabel Young,Annabel Margaret Young,1956 (age 65–66)
Annabel Morris Buchanan,,"October 22, 1888"
Annabelle Ewing,,1960-08-20 00:00:00
Annabel Palma,,
Anna Soubry,Anna Mary Soubry,1956-12-07 00:00:00
Anne-Aymone Giscard d'Estaing,Anne-Aymone Marie Josèphe Christiane Sauvage de Brantes,1933-04-10 00:00:00
Anne-Marie Comparini,,1947-07-11 00:00:00
Annalena Baerbock,Annalena Charlotte Alma Baerbock,1980-12-15 00:00:00
Annamarie Tendler,,1985-06-09 00:00:00
Anne-Grete Strøm-Erichsen,Anne-Grete Hjelle,1949-10-21 00:00:00
Anne-France Brunet,,1962-06-12 00:00:00
,,1950-08-15 00:00:00
Anne-Marie Mastraccio,,
Anne-Marie Trevelyan,Anne-Marie Belinda Beaton,1969-04-06 00:00:00
Anne Anstine,,"March 27, 1924"
Anne-Sophie Mutter,,1963-06-29 00:00:00
Anne Berit Andersen,,1951-12-02 00:00:00
Anne-Marie Slaughter,,1958-09-27 00:00:00
The Lady Baltimore,,c. 1615/1616
Anne Armstrong,,1927-12-27 00:00:00
Anne Begg,Margaret Anne Begg,1955-12-06 00:00:00
Anne Bernays,,1930-09-14 00:00:00
Anne Campbell,,1940-04-06 00:00:00
Anne Bradstreet,,1612-03-20 00:00:00
Anne Russell,,1615-12-09 00:00:00
Anne Carter Lee,,1839-06-18 00:00:00
Anne C. Conway,,1950-07-30 00:00:00
Anne Caroline Salisbury,,
Anne Chamberlain,Anne de Vere Cole,
Anne Clutterbuck,,April 28
Anne Cox Chambers,Anne Beau Cox,1919-12-01 00:00:00
Anne Clark Martindell,Anne Clark,1914-07-18 00:00:00
Anne D. Neal,,
Anne Dallas Dudley,Annie Willis Dallas,1876-11-13 00:00:00
Anne E. Derse,,1954 (age 67–68)
"Anne Elizabeth Temple-Nugent-Brydges-Chandos-Grenville, Duchess of Buckingham",Anna Eliza Brydges,27 October 1779
Anne Elise Thompson,Anne Elise Jenkins,1934-07-08 00:00:00
Anne Elizabeth Blochin,,Anne Elizabeth Wilson
The Countess of Nottingham,Anne Hatton,October 1668
Anne Enger,,1949-12-09 00:00:00
Anne Ferrell Tata,Anne Ferrell,", U.S."
Anne Forrester Holloway,,1941-06-02 00:00:00
Anne Goldthwaite,,"June 28, 1869"
Anne Gorsuch Burford,Anne Irene McGill,1942-04-21 00:00:00
The Duchess of Roxburghe,Lady Anne Emily Spencer-Churchill,1854-11-14 00:00:00
The Baroness Grenville,Anne Pitt,September 1772
Anne Gravoin,,1965-11-04 00:00:00
Anne Gust Brown,Anne Baldwin Gust,1958-03-15 00:00:00
The Duchess of Westminster,Anne Winifred Sullivan,1915-04-13 00:00:00
Anne Hall,,
"Anne Hamilton, Duchess of Hamilton",,1720
The Duchess of Hamilton,,1631-01-06 00:00:00
Anne Hearst,Anne Randolph Hearst,1955-07-29 00:00:00
Anne Hidalgo,Ana María Hidalgo Aleu,1959-06-19 00:00:00
Anne Hill Carter Lee,Anne Hill Carter,"March 26, 1773"
Anne Holt,,1958-11-16 00:00:00
Anne Hathaway,,1556
Anne Holton Kaine,Anne Bright Holton,1958-02-01 00:00:00
Anne Rud,Anne Jørgensdatter Rud,
Anne Harriman Vanderbilt,Anne Harriman,1861-02-17 00:00:00
The Baroness Jenkin,Anne Caroline Strutt,1955-12-08 00:00:00
The Duchess of Roxburghe,Lady Anne Emily Spencer-Churchill,1854-11-14 00:00:00
Anne Hutchinson,Anne Marbury,Baptised 20 July 1591
The Viscountess Anson,Anne Margaret Coke,1779-01-25 00:00:00
Anne M. Gannon,,1947-12-23 00:00:00
Anne Main,,1957-05-17 00:00:00
Anne Sigmund,,1946 (age 75–76)
Anne McLellan,,1950-08-31 00:00:00
Anne McGuire,Anne Catherine Long,1949-05-26 00:00:00
Anne McGihon,Anne Lee McGihon,1957-06-01 00:00:00
Anne McLaughlin,,1966-03-08 00:00:00
Anne Milgram,,1970-12-01 00:00:00
Anne McKeig,,1967-02-09 00:00:00
"Anne Montagu, Viscountess Mandeville",,1604
Anne Milton,Anne Frances Turner,1955-11-03 00:00:00
Anne Moffat,,1958-03-30 00:00:00
Anne Moen Bullitt,,1924-02-24 00:00:00
Anne Krueger,,1934-02-12 00:00:00
Anne Northup,,1948-01-22 00:00:00
Anne Paulsen,,
Anne Robertson Johnson Cockrill,,"February 10, 1757"
Anne Rachel Traum,,1969 (age 52–53)
Anne Plunkett,Anne Maree Plunkett,1952 (age 69–70)
Anne Rudin,,1924-01-27 00:00:00
Anne Russell,,1615-12-09 00:00:00
Anne Morrow Lindbergh,Anne Spencer Morrow,1906-06-22 00:00:00
Anne Ramsey,Angelina Mobley,1929-03-27 00:00:00
Anne Schuchat,,1960 (age 61–62)
Anne S. K. Brown,Anne Seddon Kinsolving,1906-03-25 00:00:00
Anne Shippen,Anne Hume Shippen,1763-02-24 00:00:00
Anne Slaughter Andrew,,1955 (age 66–67)
Anne Simonett,,"July 30, 1952"
Anne Spencer,,27 February 1683
Anne Spielberg,,1949-12-25 00:00:00
Anne Spencer,,27 February 1683
Anne Snelgrove,,1957-08-07 00:00:00
Anne Swarbrick,,1952 (age 69–70)
Anne Sulling,,1976-10-12 00:00:00
Anne Symonds,Anne Hilda Harrisson,1916-08-22 00:00:00
The Duchess of Sutherland,Anne Hay-Mackenzie,1829-04-21 00:00:00
Anne Sinclair,Anne-Élise Schwartz,1948-07-15 00:00:00
Anne Vondeling,Anne Vondeling,1916-03-02 00:00:00
Anne Tolley,Anne Merrilyn Hicks,1953-03-01 00:00:00
Anne Weightman Walker Penfield,Anne Weightman,1844-12-15 00:00:00
Anne Weightman Walker Penfield,Anne Weightman,1844-12-15 00:00:00
Anne Wibble,Anne Ohlin,1943-10-13 00:00:00
Anne Patterson,Anne Woods,1949-10-04 00:00:00
Anne Wignall,,1912-06-12 00:00:00
Anne Patterson,Anne Woods,1949-10-04 00:00:00
Anne Wojcicki,,1973-07-28 00:00:00
Anne d'Ornano,Anne de Contades,1936-12-07 00:00:00
Anne X. Alpern,,"December 25, 1903"
Anne de Gaulle,,1928-01-01 00:00:00
Annelise Høegh,,1948-07-26 00:00:00
Annemie Neyts-Uyttebroeck,,1944-06-17 00:00:00
Annemarie Lorentzen,,1921-09-23 00:00:00
Annette Glenn,,
Dame Annette Brooke,,1947-06-07 00:00:00
Anneliese Dodds,,1978-03-16 00:00:00
Dame Annette King,Annette Faye Robinson,1947-09-13 00:00:00
Annemarie Jorritsma,Annemarie Lebbink,1950-06-01 00:00:00
Annette Nazareth,,1956-01-27 00:00:00
Annemie Turtelboom,,1967-11-22 00:00:00
Annemarie Renger,,1919-10-07 00:00:00
Annette Polly Williams,,1937-01-10 00:00:00
Annette Strauss,Annette Louise Greenfield,1924-01-26 00:00:00
,,1974-12-07 00:00:00
Annice M. Wagner,,1937-09-09 00:00:00
Annette Strøyberg,Annette Susanne Strøyberg,7 December 1936
Annette Sweeney,,1957-12-09 00:00:00
Annick Lepetit,,1958-03-31 00:00:00
Annie Bidwell,Annie Ellicott Kennedy,1839-06-30 00:00:00
Annie Black,Ann Marie Black,1981-01-20 00:00:00
Annie Genevard,Annie Tharin,1956-09-07 00:00:00
Annick Girardin,,1964-08-03 00:00:00
Annie Lööf,Annie Marie Therése Johansson,1983-07-16 00:00:00
Annie Key,,1940 (age 81–82)
Annie Henry Christian,Anne Henry,1738
Annie Laurie Gunter,,1919-06-23 00:00:00
Annie McLane Kuster,Ann L. McLane,1956-09-05 00:00:00
Annie Pearson,,4 June 1860
Lady Thompson,Annie Emma Affleck,1842-06-26 00:00:00
The Baroness Llewelyn-Davies of Hastoe,Annie Patricia Parry,1915-07-16 00:00:00
Anniken Huitfeldt,Anniken Scharning Huitfeldt,1969-11-29 00:00:00
Annunziata Rees-Mogg,,1979-03-25 00:00:00
Annise Parker,Annise Danette Parker,1956-05-17 00:00:00
Annita van Iersel,Anna Johanna Maria van Iersel,1948-10-05 00:00:00
Annie Wells,Carol Ann Wells,1972-02-24 00:00:00
,,
,,
Anouchka van Miltenburg,Anouchka van Miltenburg,1967-04-20 00:00:00
Anselm Salomon von Rothschild,,1803-01-29 00:00:00
Anselme-Homère Pâquet,,1830-09-29 00:00:00
Anshula Kant,,1960-09-07 00:00:00
Anson Foster Keeler,,1887-09-22 00:00:00
Ansgar Gabrielsen,,1955-05-21 00:00:00
Anson Green Phelps,,1781-03-24 00:00:00
Anson George McCook,,1835-10-10 00:00:00
Anson P. K. Safford,,1830-02-14 00:00:00
Anson Burlingame,,1820-11-14 00:00:00
Anson Phelps Stokes,,1838-02-22 00:00:00
Anson Jones,,1798-01-20 00:00:00
Anselm J. McLaurin,Anselm Joseph McLaurin,1848-03-26 00:00:00
António Costa,,1961-07-17 00:00:00
,,
António Egas Moniz,António Caetano de Abreu Freire de Resende,1874-11-29 00:00:00
António José Seguro,,1962-03-11 00:00:00
António Lopes dos Santos,,1919-12-28 00:00:00
,,
António Monteiro,,1944-01-22 00:00:00
,,
António Guterres,António Manuel de Oliveira Guterres,1949-04-30 00:00:00
António Ramalho Eanes,António dos Santos Ramalho Eanes,1935-01-25 00:00:00
António Vitorino,António Manuel de Carvalho Ferreira Vitorino,1957-01-12 00:00:00
António de Almeida Santos,,1926-02-15 00:00:00
António de Sousa Franco,António Luciano Pacheco de Sousa Franco,1942-09-21 00:00:00
,,
António de Sousa Franco,António Luciano Pacheco de Sousa Franco,1942-09-21 00:00:00
,,
Antal Apró,,1913-02-08 00:00:00
Antenor Patiño Rodríguez,,1896-10-12 00:00:00
Anthea McIntyre,,", "
António de Spínola,,1910-04-11 00:00:00
Anthony A. Fleger,,1900-10-21 00:00:00
Anthony Asquith,,9 November 1902
Tony Williams,Anthony Allen Williams,1951-07-28 00:00:00
The Earl of Shaftesbury,,1801-04-28 00:00:00
The Lord Barber,Anthony Perrinott Lysberg Barber,1920-07-04 00:00:00
Anthony Beilenson,,1932-10-26 00:00:00
Anthony Berry,Anthony George Berry,1925-02-12 00:00:00
Anthony B. Akers,,1914-10-19 00:00:00
Anthony Browne,Anthony Howe Browne,1967-01-19 00:00:00
Anthony Butler,,1787
Anthony Caminetti,,1854-07-30 00:00:00
Anthony Byrne,Anthony Michael Byrne,1962-12-01 00:00:00
Anthony Quainton,Anthony Cecil Eden Quainton,1934-04-04 00:00:00
Anthony C. Campbell,,1853-04-01 00:00:00
Anthony Colby,,1792-11-13 00:00:00
Anthony L. Colaizzo,,1930-05-31 00:00:00
Anthony Cobos,,
Anthony Quainton,Anthony Cecil Eden Quainton,1934-04-04 00:00:00
Anthony Colve,,
Anthony Como,,"April 22, 1974"
Anthony Crosland,Charles Anthony Raven Crosland,1918-08-29 00:00:00
Anthony D'Urso,,1939-10-17 00:00:00
Anthony D. Galluccio,,1967-06-16 00:00:00
Anthony Dryden Marshall,Anthony Dryden Kuser,1924-05-30 00:00:00
Anthony DeVitis,,1965-07-14 00:00:00
Anthony Dryden Marshall,Anthony Dryden Kuser,1924-05-30 00:00:00
Anthony Dimond,,1881-11-30 00:00:00
Anthony Favell,,1939-05-29 00:00:00
The Earl of Avon,Robert Anthony Eden,1897-06-12 00:00:00
Anthony Forson,,
Anthony F. Godfrey,,
Anthony G. Forlini,,1962-02-04 00:00:00
Anthony Foxx,Anthony Renard Foxx,1971-04-30 00:00:00
Anthony Fauci,Anthony Stephen Fauci,1940-12-24 00:00:00
The Earl of Avon,Robert Anthony Eden,1897-06-12 00:00:00
Anthony G. DiFalco,,1938-07-14 00:00:00
Anthony F. Godfrey,,
The Lord Greenwood of Rossendale,,1911-09-14 00:00:00
The Lord Greenwood of Rossendale,,1911-09-14 00:00:00
The Lord Giddens,Anthony Giddens,1938-01-18 00:00:00
Anthony Gioia,,1942-11-10 00:00:00
Anthony Catanese,,
The Lord Hurd,,1901-05-02 00:00:00
Anthony C. Higgins,Anthony Clark Higgins,1840-10-01 00:00:00
The Viscount Head,,19 December 1906
Anthony Haswell,,1756-04-06 00:00:00
Anthony J. Battaglia,,1949-04-10 00:00:00
Anthony J. Celebrezze,Antonio Giuseppe Cilibrizzi,1910-09-04 00:00:00
Anthony Hederman,Anthony James Hederman,1921-08-11 00:00:00
Anthony J. Griffin,,1866-04-01 00:00:00
Anthony J. Mercorella,,1927-03-06 00:00:00
Anthony James de Rothschild,,1977-01-30 00:00:00
Anthony Joseph Drexel,,1826-09-13 00:00:00
Anthony Joseph Drexel Jr.,,1864-09-09 00:00:00
Anthony J. Celebrezze Jr.,"Anthony Joseph Celebrezze, Jr.","September 8, 1941"
Anthony J. Portantino,,1961-01-29 00:00:00
Anthony Scirica,Anthony Joseph Scirica,1940-12-16 00:00:00
Anthony Joseph Drexel Jr.,,1864-09-09 00:00:00
Anthony L. Gardner,Anthony Luzzatto Gardner,1963-05-16 00:00:00
Anthony Kennedy,,1810-12-21 00:00:00
Sir Anthony Kershaw,,1915-12-14 00:00:00
A.J. Drexel,Anthony Joseph Drexel III,1887-10-19 00:00:00
Anthony King,Anthony Stephen King,1934-11-17 00:00:00
Anthony Julian,Anthony Julian,1902-03-25 00:00:00
Anthony Kennedy,Anthony McLeod Kennedy,1936-07-23 00:00:00
Anthony L. Colaizzo,,1930-05-31 00:00:00
Anthony Lake,William Anthony Kirsopp Lake,1939-04-02 00:00:00
Anthony L. Knapp,,1828-06-14 00:00:00
Anthony Lispenard Bleecker,,"June 13, 1741"
Tony Marreco,Anthony Freire Marreco,1915-08-19 00:00:00
Anthony Solomon,Anthony Morton Solomon,1919-12-27 00:00:00
"Anthony M. Villane, Jr.",,1929-12-24 00:00:00
Anthony Lynham,Anthony Joseph Lynham,1960-04-12 00:00:00
Sir Anthony Mamo,,9 January 1909
Anthony Mandile,,1946-08-14 00:00:00
Anthony Martin Sinatra,Saverio Antonino Martino Sinatra,1892-05-04 00:00:00
Sir Anthony Mason,,1925-04-21 00:00:00
Anthony Merchant,Evatt Francis Anthony Merchant,1944
Anthony Nelson,,1948-06-11 00:00:00
Anthony Aboki Ochefu,,
Anthony E. Oguguo,,
Anthony O Calabrese Sr.,Orlando Anthony Calabrese,1907-07-20 00:00:00
Anthony Petruccelli,,1972-10-02 00:00:00
Anthony Michalek,,1878-01-16 00:00:00
Anthony J. Portantino,,1961-01-29 00:00:00
Anthony Musgrave,,31 August 1828
Anthony Pollina,,1952-02-17 00:00:00
Anthony R. Kuser,Anthony Rudolph Kuser,1862-05-12 00:00:00
Anthony Principi,Anthony Joseph Principi,1944-04-16 00:00:00
Anthony Seminerio,,1935-02-15 00:00:00
Anthony Shriver,Anthony Paul Kennedy Shriver,1965-07-20 00:00:00
Anthony E. Shorris,Anthony Ernest Shorris,1957-03-07 00:00:00
Anthony Seminerio,,1935-02-15 00:00:00
Anthony Scaramucci,,1964-01-06 00:00:00
Anthony T. Augelli,Anthony Thomas Augelli,1902-03-27 00:00:00
Anthony T. Kronman,,1945-05-12 00:00:00
Anthony Trenga,Anthony John Trenga,1949 (age 72–73)
The Lord Trafford of Falmer,,
Anthony Van Wyck,Anthony Van Wyck,1825-10-22 00:00:00
Anthony Thornton,,1814-11-09 00:00:00
Anthony Verga,,1935-04-26 00:00:00
Anthony West,,1914-08-04 00:00:00
Anthony Wayne Ishii,Anthony Wayne Ishii,1946-09-14 00:00:00
Anthony W. Miller,Anthony Wilder Miller,
Anthony W. Miller,Anthony Wilder Miller,
The Lord Young of Norwood Green,Anthony Ian Young,1942-04-14 00:00:00
Anthony di Bonaventura,,1929-11-12 00:00:00
Tony Zinni,Anthony Charles Zinni,1943-09-17 00:00:00
,,17 November 1925
,,
Antoine Rufenacht,,1939-05-11 00:00:00
,,
Antje Huber,,1924-05-23 00:00:00
Anthony Wayne,,1745-01-01 00:00:00
Antoinette Sassou Nguesso,Antoinette Loemba Tchibota,1945-05-07 00:00:00
Antoine Veil,,1926-08-28 00:00:00
Anton Cermak,Antonín Josef Čermák,1873-05-09 00:00:00
Antoinette Sandbach,Antoinette Geraldine Mackeson-Sandbach,1969-02-15 00:00:00
Anton Buttigieg,,1912-02-19 00:00:00
Anton Drexler,,1884-06-13 00:00:00
Anton J. Johnson,,1878-10-20 00:00:00
Anton Klaus,,1829-12-30 00:00:00
Anton Skulberg,,1921-12-29 00:00:00
Felix Anton Dohrn,,1840-09-29 00:00:00
Antonella Spaggiari,,1957-04-27 00:00:00
Anton Rintelen,Anton Rintelen,1876-11-15 00:00:00
Antonie Pannekoek,,1873-01-02 00:00:00
The Marchioness of Lothian,,1922-09-08 00:00:00
Lady Antonia Fraser,,1932-08-27 00:00:00
Anton Vaino,,1972-02-17 00:00:00
Antonia Urrejola,,1968-11-13 00:00:00
Antonio Bassolino,,1947-03-20 00:00:00
Antonio Bisaglia,,1929-03-31 00:00:00
Antonio Brancaccio,,1923-08-26 00:00:00
Antonio Cafiero,,1922-09-12 00:00:00
Antonia Kidman,,1970-07-14 00:00:00
Antonio Álvarez,,1958-07-06 00:00:00
Antonio Won Pat,,1908-12-10 00:00:00
Antonio Cariglia,,1924-03-28 00:00:00
Antonio Cassese,,1937-01-01 00:00:00
Antonin Scalia,Antonin Gregory Scalia,1936-03-11 00:00:00
Giuseppe Antonio Bagioli,,"November 17, 1795"
Antonio Catricalà,,1952-02-07 00:00:00
Antonio Gramsci,Antonio Francesco Gramsci,1891-01-22 00:00:00
Antonio Luis Ferré,,"February 6, 1934"
Antonio Martino,,1942-12-22 00:00:00
Antonio Manuel Fernández,,1902-01-17 00:00:00
Antonio Joseph,,"August 25, 1846"
Antonio Maccanico,,1924-08-04 00:00:00
Antonio Rafael Barceló,Antonio Rafael Barceló y Martínez,1868-04-15 00:00:00
Antonio R. Riley,,1963-08-22 00:00:00
Antonio Marzano,,1935-02-18 00:00:00
Antonio Fazio,,1936-10-11 00:00:00
Antonio Fernos-Isern,,1895-05-10 00:00:00
Antonio Reynoso,,1983-05-09 00:00:00
Antonio Segni,,1891-02-02 00:00:00
Antonio Tajani,,1953-08-04 00:00:00
Antonis Tritsis,,1937
Antonis Manitakis,,1944-04-19 00:00:00
Antoine Pinay,,1891-12-30 00:00:00
Antonio de la Rúa,Antonio de la Rúa Pertiné,1974-03-07 00:00:00
Sir Antony Buck,,1928-12-19 00:00:00
Antonio Villaraigosa,Antonio Ramón Villar Jr.,1953-01-23 00:00:00
Antony Higginbotham,,1989-12-16 00:00:00
The Lord Moynihan,,1936-02-02 00:00:00
Anum Qaisar,,1992-09-11 00:00:00
Antony Lambton,Antony Claud Frederick Lambton,1922-07-10 00:00:00
Anura Bastian,,1950-07-30 00:00:00
Antony Blinken,Antony John Blinken,1962-04-16 00:00:00
Anura Bandaranaike,,1949-02-15 00:00:00
Anusha Rizvi,,1978-03-13 00:00:00
Anwar Saifullah Khan,,1945-06-07 00:00:00
Anwar Zaheer Jamali,,1951-12-31 00:00:00
Antti Rinne,,1962-11-03 00:00:00
Anwara Begum,,
Anwarul Karim Chowdhury,,1943-02-05 00:00:00
Aper Aku,,1938
Ao Man Long,,December 1956 (age 65)
Apostolos Kaklamanis,,1936-09-07 00:00:00
Anyim Pius Anyim,,1961-02-19 00:00:00
Apsana Begum,,1990-05-25 00:00:00
Antony Kidman,Antony David Kidman,1938-12-10 00:00:00
Arabella Castro,,1955 (age 66–67)
Aquilla B. Caldwell,,"February 11, 1814"
Arabella Spencer-Churchill,,1949-10-30 00:00:00
Arafat Rahman,,1969-08-12 00:00:00
Arba Seymour Van Valkenburgh,,1862-08-22 00:00:00
,,
Arbab Jehangir Khan,,1 August 1936
Arbab Sikandar Khan Khalil,,
Arben Ahmetaj,,1969-06-28 00:00:00
Aram J. Pothier,,1854-07-26 00:00:00
Arch W. McFarlane,,1885-04-14 00:00:00
Arash Abizadeh,,
Sir Archdale Parkhill,,1878-08-27 00:00:00
Archer Mathews,,1744
Damaskinos,Dimitrios Papandreou,1891-03-03 00:00:00
Arch Moore,Arch Alfred Moore Jr.,1923-04-16 00:00:00
The Earl of Gosford,Archibald Alexander John Stanley Acheson,1911-01-14 00:00:00
Archibald Alexander Hodge,,1823-07-18 00:00:00
The Earl of Gosford,Archibald Alexander John Stanley Acheson,1911-01-14 00:00:00
Archibald Archer,,1820-03-13 00:00:00
The Earl of Gosford,Archibald Acheson,1776-08-01 00:00:00
Archibald Buchanan,Archibald Berdmore Brine Buchanan,1823-01-09 00:00:00
Archibald Alexander,,1772-04-17 00:00:00
The Earl of Gosford,Archibald Charles Montagu Brabazon Acheson,1877-05-26 00:00:00
Sir Archibald Boyd-Carpenter,,1873-03-26 00:00:00
Archibald Buchanan,Archibald Berdmore Brine Buchanan,1823-01-09 00:00:00
Archibald Bulloch,,1730-01-01 00:00:00
Archibald Roosevelt,,1894-04-09 00:00:00
The Duke of Argyll,,June 1682
Archibald C. Hart,,1873-02-27 00:00:00
The Lord Inverchapel,,1882-03-17 00:00:00
Archibald Cary Coolidge,,1866-03-06 00:00:00
Archibald Dixon,,"April 2, 1802"
Archibald G. McAlister,,"September 23, 1873"
Archibald Douglas,,
Archibald Hunter Arrington Williams,,1842-10-22 00:00:00
Archibald E. Olpp,Archibald Ernest Olpp,1882-05-12 00:00:00
Archibald James,,September 1893
 ,,1740-07-15 00:00:00
Archibald Hunter Arrington Williams,,1842-10-22 00:00:00
Archibald Hill Carmichael,Archibald Hill Carmichael,1864-06-17 00:00:00
Archibald Cox,,1912-05-17 00:00:00
Archibald Lybrand,,1840-05-23 00:00:00
Archibald Meserole Bliss,,1838-01-25 00:00:00
Archibald Vivian Hill,,1886-09-26 00:00:00
The Marquess of Ailsa,Archibald Kennedy,February 1770
Archibald Woodbury McLelan,,1824-12-20 00:00:00
Archibald MacLeish,,1892-05-07 00:00:00
Archibald McNicol,Archibald Moses McNicol,1878-08-03 00:00:00
The Earl of Eglinton,,29 September 1812
Archibald K. Gardner,Archibald K. Gardner,1867-12-03 00:00:00
Archibald Peake,Archibald Henry Peake,1859-01-15 00:00:00
Archibald Randall,Archibald Randall,1797-05-24 00:00:00
Archibald Roane,,1759
Archibald S. Alexander,Archibald Stevens Alexander,1906-10-28 00:00:00
The Viscount Thurso,Archibald Henry Macdonald Sinclair,22 October 1890
