name,occupation,rhodes_scholar
Jessica Melbourne-Thomas,,2003
Sasha Polakow-Suransky,,2003
Devi Sridhar,,2003
Cyril Almeida,,2004
Cristina A. Bejan,,2004
Jared Cohen,,2004
Bethany Ehlmann,,2004
Tope Folarin,,2004
Jennifer M. Harris,,2004
Pete Buttigieg,,2005
Melissa Dell,,2005
Catherine Frieman,,2005
Andy Kim,politician,2005
Neil Kruger,,2005
Atishi Marlena,,2005
Tucker Murphy,,2005
K. Sabeel Rahman,,2005
Garrett Johnson,,2006
Rosara Joseph,,2006
Jennifer Robinson,lawyer,2006
Amia Srinivasan,,2007
Holly Walker,,2007
Leana Wen,,2007
Ren%C3%A9e Hlo%C5%BEek,,2008
Abdul El-Sayed,,2009
Kingwa Kamencu,,2009
Nanjala Nyabola,,2009
Myron Rolle,,2009
Abigail Seldin,,2009
Raph Graybill,,2010
Mari Rabie,,2010
Gautam Bhatia,lawyer,2011
Varun Sivaram,,2011
Ronan Farrow,,2012
Joy Buolamwini,,2013
Shamma Al Mazrui,,2014
Ntokozo Qwabe,,2014
L%C3%A9o Bureau-Blouin,,2016
Sherona Forrester,,2016
Maike van Niekerk,,2017
Ren Naying,,2016
Hou Yifan,,2018
Madison Tung,,2019
